feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.3	Species	Nile tilapia	2.34884313963972	0.215376856164739	24	13	2.89453050988204e-10	2.77874928948676e-08
f__Burkholderiaceae	Species	Nile tilapia	2.44857257793124	0.361427996325165	24	18	8.29518071035324e-07	2.74223183877278e-05
f__Rhizobiaceae	Species	Nile tilapia	1.50739620212836	0.222981512918153	24	13	8.56947449616494e-07	2.74223183877278e-05
Clostridium.sensu.stricto.5	Species	Nile tilapia	1.95924166389707	0.297645631021214	24	15	1.61333463265743e-06	3.19920912021777e-05
f__Peptostreptococcaceae	Species	Nile tilapia	2.35852236433649	0.365984024505807	24	24	1.99950570013611e-06	3.19920912021777e-05
Turicibacter	Species	Nile tilapia	2.77526769138507	0.428174312784206	24	17	1.80173126203766e-06	3.19920912021777e-05
Fodinicola	Species	Nile tilapia	2.1872499469972	0.366221785234685	24	15	5.19649442272213e-06	7.12662092259035e-05
Deefgea	Species	Nile tilapia	1.61029830951057	0.277665703174394	24	15	8.95609462141348e-06	9.55316759617438e-05
f__JG30.KF.CM45	Species	Nile tilapia	2.06905312943186	0.358819514178884	24	16	8.42877786822649e-06	9.55316759617438e-05
Bacillus	Species	Nile tilapia	2.29615227173101	0.410866292116036	24	21	1.35922365909359e-05	9.67502539023831e-05
c__Alphaproteobacteria	Species	Nile tilapia	1.55186189467008	0.268326493383058	24	15	1.09837459455402e-05	9.67502539023831e-05
Clostridium.sensu.stricto.12	Species	Nile tilapia	2.08564708653901	0.375882350198968	24	14	1.41094120274309e-05	9.67502539023831e-05
f__Rhizobiales.Incertae.Sedis	Species	Nile tilapia	1.97947528072069	0.350781334072684	24	18	1.12777475679317e-05	9.67502539023831e-05
IMCC26207	Species	Nile tilapia	2.03755687234783	0.361806459274715	24	20	1.37102153013228e-05	9.67502539023831e-05
Clostridium.sensu.stricto.8	Species	Nile tilapia	1.98083074160845	0.363749727557049	24	14	2.01936683128098e-05	0.000103849385862551
f__Propionibacteriaceae	Species	Nile tilapia	1.8415513451206	0.335453690352727	24	19	1.92971235708949e-05	0.000103849385862551
Ilumatobacter	Species	Nile tilapia	1.8188558507835	0.326951179095248	24	15	1.63766604951199e-05	0.000103849385862551
Leptolyngbya.ANT.L52.2	Species	Nile tilapia	1.68635532615049	0.307209402746252	24	14	1.91417017113407e-05	0.000103849385862551
Shewanella	Species	Nile tilapia	2.37224209135936	0.440040936036774	24	15	2.05535242852965e-05	0.000103849385862551
Sporichthya	Species	Nile tilapia	1.84064323206283	0.336540847816058	24	14	2.35021041306101e-05	0.000112810099826928
Clostridium.sensu.stricto.11	Species	Nile tilapia	1.01705538128734	0.185125116312449	24	14	2.48175968138433e-05	0.000113451871148998
Epulopiscium	Species	Nile tilapia	2.21577298225239	0.427458991361982	24	19	4.00389369599378e-05	0.000167119041224088
Nocardioides	Species	Nile tilapia	1.79585996358048	0.350020146808454	24	14	3.84097898764771e-05	0.000167119041224088
Methylocystis	Species	Nile tilapia	2.01415596358291	0.396241456660258	24	18	4.73361134005089e-05	0.000189344453602036
o__IMCC26256	Species	Nile tilapia	2.09292161864053	0.420080550097372	24	16	5.50061837538628e-05	0.000211223745614833
f__Clostridiaceae.1	Species	Nile tilapia	-1.74044653718655	0.35410555503711	24	24	6.47299867741723e-05	0.000239003028089252
f__Isosphaeraceae	Species	Nile tilapia	1.51080170264422	0.312095387958522	24	18	8.49899346436343e-05	0.000302186434288478
Pirellula	Species	Nile tilapia	1.55210980565514	0.324876725836893	24	17	9.04116434719916e-05	0.000309982777618257
Clostridium.sensu.stricto.13	Species	Nile tilapia	1.90968292792284	0.402255921961828	24	16	0.00010901113415499	0.000360864444099277
Blastopirellula	Species	Nile tilapia	1.65458297175253	0.35630762847641	24	15	0.000139197005309727	0.000417591015929181
Candidatus.Competibacter	Species	Nile tilapia	1.89103566914331	0.405520247531785	24	13	0.000136454130256255	0.000417591015929181
Cyanobium.PCC.6307	Species	Nile tilapia	1.84334780138241	0.398071626562598	24	22	0.000134334295894069	0.000417591015929181
f__Gemmataceae	Species	Nile tilapia	1.90125021008368	0.426827886588222	24	20	0.000210302082189397	0.000593794114417122
f__Microtrichaceae	Species	Nile tilapia	1.45883980819659	0.328454930880784	24	14	0.000205181756897972	0.000593794114417122
f__Caldilineaceae	Species	Nile tilapia	1.91072055173652	0.430900527709734	24	15	0.000234836681521113	0.000644123469315054
Romboutsia	Species	Nile tilapia	1.56338828485145	0.353836265132787	24	23	0.000249996670456435	0.000666657787883827
f__Rhodobacteraceae	Species	Nile tilapia	1.23117676853675	0.283147769949669	24	13	0.00029381856845447	0.00076234006950349
f__Oligoflexaceae	Species	Nile tilapia	1.33562564004643	0.311970647401159	24	13	0.000316296354627853	0.000799064474849312
Paeniclostridium	Species	Nile tilapia	1.37087010376996	0.318713188261165	24	14	0.0003393476947946	0.000835317402571323
Mycobacterium	Species	Nile tilapia	1.59698747443178	0.377169280012526	24	21	0.000351537897011609	0.000843690952827861
Aeromonas	Species	Nile tilapia	1.74338922671013	0.416173991616192	24	24	0.000380200695216623	0.000848820156762693
f__67.14	Species	Nile tilapia	1.61989812509034	0.384918134362083	24	17	0.000379998759774061	0.000848820156762693
o__Saccharimonadales	Species	Nile tilapia	1.80444821868397	0.425510344350843	24	17	0.000371383742138707	0.000848820156762693
X966.1	Species	Nile tilapia	1.77253815486914	0.421250981511404	24	16	0.000409663085270582	0.000876229632232923
f__B1.7BS	Species	Nile tilapia	1.8383600547991	0.44218330319763	24	15	0.000410732640109183	0.000876229632232923
Clostridium.sensu.stricto.9	Species	Nile tilapia	1.5733317893019	0.381110098343893	24	13	0.000455076458052144	0.000918618839379111
