#SampleID	DNA_source	Species	Site	Location	Environment	Population	Sample_type	Food_source	DNA_extraction_batch	qPCR_Cq_value	Qubit
01	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	1	33.32	4.3
02	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	1	31.74	5.02
03	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	1	33.66	5.82
04	gut content	Nile tilapia	Jinja_Lake_site1	Jinja	Lake	Farmed	Tilapia_farmed_lake	Feed_B	1	36.87	7.06
05	gut content	Nile tilapia	Jinja_Lake_site1	Jinja	Lake	Farmed	Tilapia_farmed_lake	Feed_B	1	35.34	4.76
06	gut content	Nile tilapia	Jinja_Lake_site1	Jinja	Lake	Farmed	Tilapia_farmed_lake	Feed_B	1	33.1	9.2
07	gut content	Nile tilapia	Mukono_Pond_2	Mukono	Pond	Farmed	Tilapia_farmed_pond	Feed_C	1	35.18	8.12
08	gut content	Nile tilapia	Wakiso_Pond_1	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_C	1	36.16	6.5
09	gut content	Nile tilapia	Wakiso_Pond_1	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_C	1	34.85	3.74
10	gut content	Nile tilapia	Wakiso_Pond_2	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_B	1	32.75	5.06
11	gut content	Nile tilapia	Wakiso_Pond_2	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_B	1	37.86	4.14
12	gut content	Nile tilapia	Wakiso_Pond_2	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_B	1	36.44	7.78
13	gut content	Nile tilapia	Jinja_Lake_site2	Jinja	Lake	Wild	Tilapia_wild_lake	Foraging	1	36.46	5.7
14	gut content	Nile tilapia	Jinja_Lake_site2	Jinja	Lake	Wild	Tilapia_wild_lake	Foraging	1	37.86	4.44
15	gut content	Nile tilapia	Wakiso_Lake_site1	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	1		8.9
16	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	1	30.66	4.08
17	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Wild	Tilapia_wild_lake	Foraging	1		9.08
18	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Wild	Tilapia_wild_lake	Foraging	1	38.03	6.28
19	gut content	Nile Perch	Mukono_Lake_site1	Mukono	Lake	Wild	Perch_wild_lake	Hunting	1	38.71	7.76
20	gut content	Nile Perch	Mukono_Lake_site1	Mukono	Lake	Wild	Perch_wild_lake	Hunting	1	30.32	7.2
21	gut content	Nile Perch	Jinja_Lake_site2	Jinja	Lake	Wild	Perch_wild_lake	Hunting	1	34.21	6.96
22	gut content	Nile Perch	Jinja_Lake_site2	Jinja	Lake	Wild	Perch_wild_lake	Hunting	1		7.72
23	gut content	Nile Perch	Wakiso_Lake_site1	Wakiso	Lake	Wild	Perch_wild_lake	Hunting	1		7.18
24	gut content	Nile Perch	Wakiso_Lake_site1	Wakiso	Lake	Wild	Perch_wild_lake	Hunting	1	33.13	8.62
25	gut content	Nile tilapia	Mukono_Lake_site2	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	2	35.51	8.68
26	gut content	Nile tilapia	Mukono_Lake_site2	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	2	36.06	3.44
27	gut content	Nile tilapia	Mukono_Lake_site2	Mukono	Lake	Farmed	Tilapia_farmed_lake	Feed_A	2	36.14	8.5
28	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Farmed	Tilapia_farmed_lake	Feed_B	2	35.97	3.62
29	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Farmed	Tilapia_farmed_lake	Feed_B	2	39.59	4.58
30	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Farmed	Tilapia_farmed_lake	Feed_B	2	35.16	7.88
31	gut content	Nile tilapia	Wakiso_Pond_3	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_C	2	38.13	6.26
32	gut content	Nile tilapia	Wakiso_Pond_3	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_C	2	41.23	3.1
33	gut content	Nile tilapia	Wakiso_Pond_3	Wakiso	Pond	Farmed	Tilapia_farmed_pond	Feed_C	2		2.46
34	gut content	Nile tilapia	Mukono_Pond_1	Mukono	Pond	Farmed	Tilapia_farmed_pond	Feed_B	2	36.4	7
35	gut content	Nile tilapia	Mukono_Pond_1	Mukono	Pond	Farmed	Tilapia_farmed_pond	Feed_B	2	38.66	4.7
36	gut content	Nile tilapia	Mukono_Pond_1	Mukono	Pond	Farmed	Tilapia_farmed_pond	Feed_B	2	38.36	6.66
37	gut content	Nile tilapia	Jinja_Lake_site2	Jinja	Lake	Wild	Tilapia_wild_lake	Foraging	2	35.49	4.32
38	gut content	Nile tilapia	Wakiso_Lake_site1	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	2	36.95	7.72
39	gut content	Nile tilapia	Wakiso_Lake_site1	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	2	32.56	8.54
40	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	2	35.45	5.7
41	gut content	Nile tilapia	Wakiso_Lake_site2	Wakiso	Lake	Wild	Tilapia_wild_lake	Foraging	2		6.54
42	gut content	Nile tilapia	Mukono_Lake_site1	Mukono	Lake	Wild	Tilapia_wild_lake	Foraging	2	34.5	3.6
